INHIBITION_OF_VOLTAGE_GATED_CD_CA2_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS,NEURONAL_SYSTEM,POTASSIUM_CHANNELS,TRANSMISSION_ACROSS_CHEMICAL_AL_SYNAPSES,GPCR_DOWNSTREAM_SIGNALING,SLC_MEDIATED_TRANSMEMBRANE_TR_TRANSPORT,NEUROTRANSMITTER_RECEPTOR_BINBINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL,RAS_ACTIVATION_UOPN_CA2_INFUXFUX_THROUGH_NMDA_RECEPTOR,SIGNALING_BY_GPCR
GABBR1,ABAT,ABCC8,ABAT,ABR,AAAS,ACTN2,ACTN2,ABR
GABBR2,ABCC8,ABCC9,ACHE,ADCY1,ALB,ADCY1,AKAP9,ADCY1
GNB1,ABCC9,GABBR1,ACTN2,ADCY2,AVP,ADCY2,CALM1,ADCY2
GNB2,ACHE,GABBR2,ADCY1,ADCY3,CP,ADCY3,CALM2,ADCY3
GNB3,ACTN2,GNB1,ADCY2,ADCY4,G6PC,ADCY4,CALM3,ADCY4
GNG10,ADCY1,GNB2,ADCY3,ADCY5,G6PC2,ADCY5,CAMK2A,ADCY5
GNG12,ADCY2,GNB3,ADCY4,ADCY6,G6PC3,ADCY6,CAMK2B,ADCY6
GNG2,ADCY3,GNG10,ADCY5,ADCY7,GCK,ADCY7,CAMK2D,ADCY7
GNG3,ADCY4,GNG12,ADCY6,ADCY8,GCKR,ADCY8,GRIN1,ADCY8
GNG4,ADCY5,GNG2,ADCY7,ADCY9,HEPH,ADCY9,GRIN2A,ADCY9
GNG5,ADCY6,GNG3,ADCY8,ADCYAP1,HK1,AKAP5,GRIN2B,ADCYAP1
GNG7,ADCY7,GNG4,ADCY9,ADCYAP1R1,HK2,AKAP9,GRIN2C,ADCYAP1R1
GNG8,ADCY8,GNG5,AKAP5,ADM,HK3,AP2A1,GRIN2D,ADM
GNGT1,ADCY9,GNG7,AKAP9,ADM2,LOC652661,AP2A2,HRAS,ADM2
GNGT2,AKAP5,GNG8,ALDH2,ADORA1,NUP107,AP2B1,NEFL,ADORA1
KCNJ10,AKAP9,GNGT1,ALDH5A1,ADORA2A,NUP133,AP2M1,RASGRF1,ADORA2A
KCNJ12,ALDH2,GNGT2,AP2A1,ADORA2B,NUP153,AP2S1,RASGRF2,ADORA2B
KCNJ15,ALDH5A1,HCN1,AP2A2,ADORA3,NUP155,ARHGEF9,,ADORA3
KCNJ16,AP2A1,HCN2,AP2B1,ADRA1A,NUP188,BRAF,,ADRA1A
KCNJ2,AP2A2,HCN3,AP2M1,ADRA1B,NUP205,CACNG2,,ADRA1B
KCNJ3,AP2B1,HCN4,AP2S1,ADRA1D,NUP210,CACNG3,,ADRA1D
KCNJ4,AP2M1,KCNA1,ARHGEF9,ADRA2A,NUP214,CACNG4,,ADRA2A
KCNJ5,AP2S1,KCNA10,BRAF,ADRA2B,NUP35,CACNG8,,ADRA2B
KCNJ6,ARHGEF9,KCNA2,CACNA1A,ADRB1,NUP37,CALM1,,ADRB1
KCNJ9,BRAF,KCNA3,CACNA1B,ADRB2,NUP43,CALM2,,ADRB2
,CACNA1A,KCNA4,CACNA2D3,ADRB3,NUP50,CALM3,,ADRB3
,CACNA1B,KCNA5,CACNB1,ADRBK1,NUP54,CAMK2A,,ADRBK1
,CACNA2D3,KCNA6,CACNB2,AGT,NUP62,CAMK2B,,AGT
,CACNB1,KCNA7,CACNB3,AGTR1,NUP85,CAMK2D,,AGTR1
,CACNB2,KCNAB1,CACNB4,AGTR2,NUP88,CAMK4,,AGTR2
,CACNB3,KCNAB2,CACNG2,AKAP13,NUP93,CAMKK1,,AKAP13
,CACNB4,KCNAB3,CACNG3,AKT1,NUPL1,CHRFAM7A,,AKT1
,CACNG2,KCNB1,CACNG4,AKT2,NUPL2,CHRNA1,,AKT2
,CACNG3,KCNB2,CACNG8,AKT3,POM121,CHRNA2,,AKT3
,CACNG4,KCNC1,CALM1,ANXA1,RAE1,CHRNA3,,ANXA1
,CACNG8,KCNC2,CALM2,APLNR,RANBP2,CHRNA4,,APLNR
,CALM1,KCNC3,CALM3,APP,RHAG,CHRNA5,,APP
,CALM2,KCNC4,CAMK2A,ARHGAP4,RHCG,CHRNA6,,ARHGAP4
,CALM3,KCND1,CAMK2B,ARHGEF1,SEH1L,CHRNA7,,ARHGEF1
,CAMK2A,KCND2,CAMK2D,ARHGEF11,SLC10A6,CHRNA9,,ARHGEF11
,CAMK2B,KCND3,CAMK4,ARHGEF12,SLC11A1,CHRNB2,,ARHGEF12
,CAMK2D,KCNF1,CAMKK1,ARHGEF16,SLC12A1,CHRNB3,,ARHGEF16
,CAMK4,KCNG1,CHAT,ARHGEF17,SLC12A2,CHRNB4,,ARHGEF17
,CAMKK1,KCNG2,CHRFAM7A,ARHGEF18,SLC12A4,CHRND,,ARHGEF18
,CHAT,KCNG3,CHRNA1,ARHGEF2,SLC12A5,CHRNE,,ARHGEF2
,CHRFAM7A,KCNG4,CHRNA2,ARHGEF25,SLC12A6,CHRNG,,ARHGEF25
,CHRNA1,KCNH1,CHRNA3,ARHGEF3,SLC12A7,CREB1,,ARHGEF3
,CHRNA2,KCNH2,CHRNA4,ARHGEF4,SLC13A1,DLG1,,ARHGEF4
,CHRNA3,KCNH3,CHRNA5,ARHGEF6,SLC13A2,DLG3,,ARHGEF6
,CHRNA4,KCNH4,CHRNA6,ARHGEF9,SLC13A3,EPB41L1,,ARHGEF9
,CHRNA5,KCNH5,CHRNA7,AVP,SLC13A5,GABBR1,,AVP
,CHRNA6,KCNH6,CHRNA9,AVPR1A,SLC14A1,GABBR2,,AVPR1A
,CHRNA7,KCNH7,CHRNB2,AVPR1B,SLC14A2,GABRA1,,AVPR1B
,CHRNA9,KCNH8,CHRNB3,AVPR2,SLC15A1,GABRA2,,AVPR2
,CHRNB2,KCNJ1,CHRNB4,BDKRB1,SLC15A2,GABRA3,,BDKRB1
,CHRNB3,KCNJ10,CHRND,BDKRB2,SLC15A3,GABRA4,,BDKRB2
,CHRNB4,KCNJ11,CHRNE,BRS3,SLC15A4,GABRA5,,BRS3
,CHRND,KCNJ12,CHRNG,C3,SLC16A1,GABRA6,,C3
,CHRNE,KCNJ14,COMT,C3AR1,SLC16A10,GABRB1,,C3AR1
